City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,carnarvon,-24.8667,113.6333,292.94,69,73,9.56,AU,1689310478
198,karpenisi,38.9167,21.7833,298.33,51,0,0.18,GR,1689310479
199,senj,44.9894,14.9058,298.52,89,55,4.65,HR,1689310479
200,fort bragg,35.139,-79.006,301.47,82,0,4.12,US,1689310479
201,mogocha,53.7333,119.7667,297.49,36,33,2.76,RU,1689310479
202,iskateley,67.6803,53.1512,289.58,51,69,4.22,RU,1689310480
203,mili,6.0815,171.735,301.77,74,17,6.83,MH,1689310480
204,balikesir,39.75,28.0,302.33,83,0,0.0,TR,1689310480
205,deniliquin,-35.5333,144.9667,288.93,47,100,5.09,AU,1689310480
206,afif,23.9065,42.9172,305.94,10,62,4.93,SA,1689310481
207,keren,15.7778,38.4581,298.95,50,80,1.77,ER,1689310481
208,broken hill,-31.95,141.4333,290.38,29,2,8.35,AU,1689310481
209,santa vitoria do palmar,-33.5189,-53.3681,281.56,77,84,4.29,BR,1689310413
210,yigo village,13.5361,144.8886,304.77,70,20,7.72,GU,1689310482
211,kudahuvadhoo,2.6708,72.8944,300.88,75,24,0.74,MV,1689310482
212,labytnangi,66.6572,66.4183,287.6,46,2,1.14,RU,1689310482
213,smara,26.7384,-11.6719,302.86,20,0,5.21,EH,1689310482
214,katsuren-haebaru,26.3369,127.8719,306.16,62,75,4.12,JP,1689310483
215,claudio,-20.4433,-44.7658,289.65,66,2,2.01,BR,1689310483
216,remire-montjoly,4.9167,-52.2667,297.17,100,20,0.51,GF,1689310483
217,i-n-salah,27.1935,2.4607,302.23,12,0,4.79,DZ,1689310483
218,khabarovsk,48.4808,135.0928,301.04,42,20,5.0,RU,1689310483
219,trincomalee,8.5711,81.2335,304.67,60,10,6.2,LK,1689310484
220,kaffrine,14.1059,-15.5508,300.99,69,100,5.37,SN,1689310484
221,jining,35.405,116.5814,308.43,38,91,4.67,CN,1689310484
222,negombo,7.2083,79.8358,303.18,74,40,3.09,LK,1689310485
223,chaiya,9.3862,99.1986,307.84,51,73,2.45,TH,1689310485
224,caleta de carquin,-11.0925,-77.6267,292.75,84,55,3.83,PE,1689310485
225,madalena,41.2162,-8.3345,290.63,83,7,0.92,PT,1689310485
226,akankpa,5.1264,8.1898,296.39,97,87,1.22,NG,1689310485
227,maamba,-17.3667,27.15,282.77,83,2,0.8,ZM,1689310486
228,yeppoon,-23.1333,150.7333,297.03,69,0,7.4,AU,1689310486
229,buurhakaba,2.8026,44.0781,297.34,74,97,7.46,SO,1689310486
230,kittila,67.6647,24.8936,284.6,100,100,2.06,FI,1689310486
231,hizan,38.2257,42.4278,297.72,38,0,3.41,TR,1689310487
232,wanning,18.8003,110.3967,305.64,63,100,4.33,CN,1689310487
233,zvishavane,-20.3267,30.0665,279.26,91,0,0.99,ZW,1689310487
234,mulchen,-37.7167,-72.2333,276.09,96,90,0.57,CL,1689310487
235,zaozersk,69.4005,32.4476,288.19,62,81,4.95,RU,1689310487
236,weno,7.4515,151.8468,304.12,74,75,4.12,FM,1689310488
237,pokhara,28.2333,83.9833,297.68,91,100,1.88,NP,1689310471
238,egilsstadir,65.2653,-14.3948,280.1,76,100,1.03,IS,1689310488
239,karratha,-20.7377,116.8463,301.6,28,1,2.89,AU,1689310488
240,gisborne,-38.6533,178.0042,287.76,68,23,4.66,NZ,1689310489
241,sil-li,39.4947,125.4736,295.75,98,100,5.63,KP,1689310489
242,san carlos de bariloche,-41.1456,-71.3082,275.51,80,75,1.03,AR,1689310490
243,valparaiso,-33.0393,-71.6273,287.59,65,0,1.54,CL,1689310472
244,yigou,35.8114,114.3167,310.12,25,85,3.65,CN,1689310491
245,den burg,53.0542,4.7972,289.14,93,75,3.09,NL,1689310491
246,auki,-8.7676,160.7034,300.48,84,85,3.17,SB,1689310491
247,north battleford,52.7834,-108.2847,290.2,55,0,4.63,CA,1689310491
248,bojnurd,37.4747,57.329,297.12,50,0,3.09,IR,1689310492
249,peniche,39.3558,-9.3811,291.73,91,1,1.83,PT,1689310492
250,touros,-5.1989,-35.4608,296.88,81,0,4.48,BR,1689310492
251,grand falls-windsor,48.9332,-55.6649,291.76,89,95,1.81,CA,1689310438
252,mount pearl,47.5166,-52.7813,288.68,92,100,2.57,CA,1689310237
253,hawaiian paradise park,19.5933,-154.9731,299.88,81,40,3.09,US,1689310301
254,constantia,44.1833,28.65,299.53,68,4,8.76,RO,1689310493
255,guerrero negro,27.9769,-114.0611,293.24,76,0,6.69,MX,1689310493
256,chunskiy,56.0815,99.6342,293.26,63,97,0.74,RU,1689310493
257,keflavik,64.0049,-22.5624,282.39,71,75,14.92,IS,1689310493
258,pacific grove,36.6177,-121.9166,290.97,85,0,3.09,US,1689310494
259,sisimiut,66.9395,-53.6735,283.55,75,100,1.76,GL,1689310494
260,kalevala,65.2,31.1667,286.36,80,96,0.47,RU,1689310494
261,nova vicosa,-17.8919,-39.3719,295.42,85,0,6.41,BR,1689310494
262,cabinda,-5.55,12.2,292.67,94,2,2.4,AO,1689310495
263,zubova polyana,54.0771,42.8372,285.46,97,100,2.75,RU,1689310495
264,taltal,-25.4,-70.4833,290.8,53,57,1.83,CL,1689310495
265,ta`u,-14.2336,-169.5144,300.66,72,59,7.34,AS,1689310495
266,tanumah,27.1,44.1333,307.1,7,81,4.52,SA,1689310496
267,nova sintra,14.8667,-24.7167,296.25,84,52,0.81,CV,1689310496
268,qaqortoq,60.7167,-46.0333,277.84,90,100,1.14,GL,1689310496
269,susuman,62.7833,148.1667,298.15,50,92,3.39,RU,1689310496
270,fort stockton,30.894,-102.8793,307.18,35,0,7.72,US,1689310496
271,myitkyina,25.3833,97.4,297.46,98,100,0.27,MM,1689310497
272,loukhi,66.0764,33.0381,285.75,96,100,1.57,RU,1689310497
273,ayorou,14.7308,0.9174,303.48,50,73,6.73,NE,1689310497
274,nema,57.5067,50.5011,290.26,65,74,2.27,RU,1689310497
275,tame,6.461,-71.73,294.71,95,37,1.67,CO,1689310498
276,aykhal,66.0,111.5,283.47,37,36,6.38,RU,1689310498
277,powai,19.1164,72.9047,299.92,100,100,4.63,IN,1689310498
278,dali,25.7,100.1833,295.62,70,100,1.98,CN,1689310498
279,bodo,67.28,14.405,292.01,69,0,7.2,NO,1689310498
280,tuy hoa,13.0833,109.3,307.76,50,74,6.43,VN,1689310499
281,nar'yan-mar,67.6713,53.087,289.59,51,65,4.25,RU,1689310499
282,red deer,52.2668,-113.802,288.42,94,100,3.09,CA,1689310499
283,constitucion,-35.3333,-72.4167,281.66,78,100,3.44,CL,1689310499
284,quepos,9.4236,-84.1652,298.21,93,100,1.0,CR,1689310499
285,iron river,46.0927,-88.6423,289.57,98,48,2.25,US,1689310500
286,borgo,46.0514,11.4544,294.44,85,9,0.89,IT,1689310500
287,sokoni,-6.4333,39.55,297.05,80,53,8.74,TZ,1689310500
288,kerikeri,-35.2268,173.9474,288.66,79,31,1.34,NZ,1689310500
289,paranhos,-23.8928,-55.4311,279.77,87,69,2.47,BR,1689310501
290,sabang,5.8933,95.3214,302.12,67,80,8.06,ID,1689310501
291,kourou,5.1552,-52.6478,297.18,88,78,3.11,GF,1689310501
292,palikir - national government center,6.9248,158.1611,302.56,79,100,3.09,FM,1689310502
293,pisco,-13.7,-76.2167,292.18,82,100,5.14,PE,1689310502
294,morales,2.757,-76.6172,287.59,94,73,1.44,CO,1689310502
295,takoradi,4.8845,-1.7554,297.39,89,14,1.24,GH,1689310389
296,barra de santo antonio,-9.4047,-35.5072,294.75,89,13,1.54,BR,1689310503
297,trat,12.5,102.5,303.26,63,75,5.04,TH,1689310503
298,nabire,-3.3667,135.4833,301.93,75,77,1.96,ID,1689310503
299,baie-comeau,49.2168,-68.1489,289.97,94,100,6.69,CA,1689310504
300,saipan,15.1355,145.701,305.54,100,0,7.72,MP,1689310504
301,juba,4.8517,31.5825,294.51,92,88,1.53,SS,1689310504
302,macau,22.2006,113.5461,311.96,70,20,2.06,MO,1689310217
303,izki,22.9333,57.7667,307.75,33,60,1.1,OM,1689310236
